Category, Group, Type, Trait, Strategy,Attribute
Ecological_preference,Soil,Humus_form,Mull,Dysmull,
Ecological_preference,Soil,Humus_form,Mull,Eumull,
Ecological_preference,Soil,Humus_form,Mull,Mesomull,
Ecological_preference,Soil,Humus_form,Mull,Oligomull,
Ecological_preference,Soil,Humus_form,Tangel,,
Ecological_preference,Soil,Soil_chemistry,Calcium,,
Ecological_preference,Soil,Soil_chemistry,Carbon,,
Ecological_preference,Soil,Soil_chemistry,Carbonates,,
Ecological_preference,Soil,Soil_chemistry,Cn_ratio,,
Ecological_preference,Soil,Soil_chemistry,Metals,Cd,
Ecological_preference,Soil,Soil_chemistry,Metals,Cu,
Ecological_preference,Soil,Soil_chemistry,Metals,Pb,
Ecological_preference,Soil,Soil_chemistry,Metals,Zn,
Ecological_preference,Soil,Soil_chemistry,Nitrogen,,
Ecological_preference,Soil,Soil_chemistry,Organic_carbon,,
Ecological_preference,Soil,Soil_chemistry,Ph,,
Ecological_preference,Soil,Soil_humidity,,,
Ecological_preference,Soil,Soil_structure,,,
Ecological_preference,Soil,Soil_temperature,,,
Ecological_preference,Soil,Soil_texture,Clay,,
Ecological_preference,Soil,Soil_texture,Sand,,
Ecological_preference,Soil,Soil_texture,Silt,,
Ecological_preference,Temperature,Mean_annual_climatic_temperature,,,
Ecological_preference,Vertical_distribution,Holorganic_layer,Inhumus,,
Ecological_preference,Vertical_distribution,Holorganic_layer,Soil_surface,,
Ecological_preference,Vertical_distribution,Organo-mineral_layer,Between_5_and_20_cm,,
Ecological_preference,Vertical_distribution,Organo-mineral_layer,Five_cm_upper_soil_layer,,
Ecological_preference,Vertical_distribution,Organo-mineral_layer,Superior_to_20_cm,,
Ecological_preference,Vertical_distribution,Vegetation,,,
